VGS,VDS,DC_IDS_i_0____
-1.9,1.86,2.36319403970286e-09
-1.9,1.87,2.36320403970286e-09
-1.9,1.88,2.36321403970286e-09
-1.9,1.89,2.36322403970286e-09
-1.9,1.9,2.36323403970286e-09
-1.9,1.91,2.36324403970286e-09
-1.9,1.92,2.36325403970286e-09
-1.9,1.93,2.36326403970286e-09
-1.9,1.94,2.36327403970286e-09
-1.9,1.95,2.36328403970286e-09
-1.9,1.96,2.36329403970286e-09
-1.9,1.97,2.36330403970286e-09
-1.9,1.98,2.36331403970286e-09
-1.9,1.99,2.36332403970286e-09
-1.9,2,2.36333403970286e-09
-1.9,2.01,2.36334403970286e-09
-1.9,2.02,2.36335403970286e-09
-1.9,2.03,2.36336403970286e-09
-1.9,2.04,2.36337403970286e-09
-1.9,2.05,2.36338403970286e-09
-1.9,2.06,2.36339403970286e-09
-1.9,2.07,2.36340403970286e-09
-1.9,2.08,2.36341403970286e-09
-1.9,2.09,2.36342403970286e-09
-1.9,2.1,2.36343403970286e-09
-1.9,2.11,2.36344403970286e-09
-1.9,2.12,2.36345403970286e-09
-1.9,2.13,2.36346403970286e-09
-1.9,2.14,2.36347403970286e-09
-1.9,2.15,2.36348403970286e-09
-1.9,2.16,2.36349403970286e-09
-1.9,2.17,2.36350403970286e-09
-1.9,2.18,2.36351403970286e-09
-1.9,2.19,2.36352403970286e-09
-1.9,2.2,2.36353403970286e-09
-1.9,2.21,2.36354403970286e-09
-1.9,2.22,2.36355403970286e-09
-1.9,2.23,2.36356403970286e-09
-1.9,2.24,2.36357403970286e-09
-1.9,2.25,2.36358403970286e-09
-1.9,2.26,2.36359403970286e-09
-1.9,2.27,2.36360403970286e-09
-1.9,2.28,2.36361403970286e-09
-1.9,2.29,2.36362403970286e-09
-1.9,2.29999999999999,2.36363403970286e-09
-1.9,2.30999999999999,2.36364403970286e-09
-1.9,2.31999999999999,2.36365403970286e-09
-1.9,2.32999999999999,2.36366403970286e-09
-1.9,2.33999999999999,2.36367403970286e-09
-1.9,2.34999999999999,2.36368403970286e-09
-1.9,2.35999999999999,2.36369403970286e-09
-1.9,2.36999999999999,2.36370403970286e-09
-1.9,2.37999999999999,2.36371403970286e-09
-1.9,2.38999999999999,2.36372403970286e-09
-1.9,2.39999999999999,2.36373403970286e-09
-1.9,2.40999999999999,2.36374403970286e-09
-1.9,2.41999999999999,2.36375403970286e-09
-1.9,2.42999999999999,2.36376403970286e-09
-1.9,2.43999999999999,2.36377403970286e-09
-1.9,2.44999999999999,2.36378403970286e-09
-1.9,2.45999999999999,2.36379403970286e-09
-1.9,2.46999999999999,2.36380403970286e-09
-1.9,2.47999999999999,2.36381403970286e-09
-1.9,2.48999999999999,2.36382403970286e-09
-1.9,2.49999999999999,2.36383403970286e-09
-1.9,2.50999999999999,2.36384403970286e-09
-1.9,2.51999999999999,2.36385403970286e-09
-1.9,2.52999999999999,2.36386403970286e-09
-1.9,2.53999999999999,2.36387403970286e-09
-1.9,2.54999999999999,2.36388403970286e-09
-1.9,2.55999999999999,2.36389403970286e-09
-1.9,2.56999999999999,2.36390403970286e-09
-1.9,2.57999999999999,2.36391403970286e-09
-1.9,2.58999999999999,2.36392403970286e-09
-1.9,2.59999999999999,2.36393403970286e-09
-1.9,2.60999999999999,2.36394403970286e-09
-1.9,2.61999999999999,2.36395403970286e-09
-1.9,2.62999999999999,2.36396403970286e-09
-1.9,2.63999999999999,2.36397403970286e-09
-1.9,2.64999999999999,2.36398403970286e-09
-1.9,2.65999999999999,2.36399403970286e-09
-1.9,2.66999999999999,2.36400403970286e-09
-1.9,2.67999999999999,2.36401403970286e-09
-1.9,2.68999999999999,2.36402403970286e-09
-1.9,2.69999999999999,2.36403403970286e-09
-1.9,2.70999999999999,2.36404403970286e-09
-1.9,2.71999999999999,2.36405403970286e-09
-1.9,2.72999999999999,2.36406403970286e-09
-1.9,2.73999999999999,2.36407403970286e-09
-1.9,2.74999999999999,2.36408403970286e-09
-1.9,2.75999999999999,2.36409403970286e-09
-1.9,2.76999999999998,2.36410403970286e-09
-1.9,2.77999999999998,2.36411403970286e-09
-1.9,2.78999999999998,2.36412403970286e-09
-1.9,2.79999999999998,2.36413403970286e-09
-1.9,2.80999999999998,2.36414403970286e-09
-1.9,2.81999999999998,2.36415403970286e-09
-1.9,2.82999999999998,2.36416403970286e-09
-1.9,2.83999999999998,2.36417403970286e-09
-1.9,2.84999999999998,2.36418403970286e-09
-1.9,2.85999999999998,2.36419403970286e-09
-1.9,2.86999999999998,2.36420403970286e-09
-1.9,2.87999999999998,2.36421403970286e-09
-1.9,2.88999999999998,2.36422403970286e-09
-1.9,2.89999999999998,2.36423403970286e-09
-1.9,2.90999999999998,2.36424403970286e-09
-1.9,2.91999999999998,2.36425403970286e-09
-1.9,2.92999999999998,2.36426403970286e-09
-1.9,2.93999999999998,2.36427403970286e-09
-1.9,2.94999999999998,2.36428403970286e-09
-1.9,2.95999999999998,2.36429403970286e-09
-1.9,2.96999999999998,2.36430403970286e-09
-1.9,2.97999999999998,2.36431403970286e-09
-1.9,2.98999999999998,2.36432403970286e-09
-1.9,2.99999999999998,2.36433403970286e-09
-1.9,3.00999999999998,2.36434403970286e-09
-1.9,3.01999999999998,2.36435403970286e-09
-1.9,3.02999999999998,2.36436403970286e-09
-1.9,3.03999999999998,2.36437403970286e-09
-1.9,3.04999999999998,2.36438403970286e-09
-1.9,3.05999999999998,2.36439403970286e-09
-1.9,3.06999999999998,2.36440403970286e-09
-1.9,3.07999999999998,2.36441403970286e-09
-1.9,3.08999999999998,2.36442403970286e-09
-1.9,3.09999999999998,2.36443403970286e-09
-1.9,3.10999999999998,2.36444403970286e-09
-1.9,3.11999999999998,2.36445403970286e-09
-1.9,3.12999999999998,2.36446403970286e-09
-1.9,3.13999999999998,2.36447403970286e-09
-1.9,3.14999999999998,2.36448403970286e-09
-1.9,3.15999999999998,2.36449403970286e-09
-1.9,3.16999999999998,2.36450403970286e-09
-1.9,3.17999999999998,2.36451403970286e-09
-1.9,3.18999999999998,2.36452403970286e-09
-1.9,3.19999999999998,2.36453403970286e-09
-1.9,3.20999999999998,2.36454403970286e-09
-1.9,3.21999999999998,2.36455403970286e-09
-1.9,3.22999999999998,2.36456403970286e-09
-1.9,3.23999999999997,2.36457403970286e-09
-1.9,3.24999999999997,2.36458403970286e-09
-1.9,3.25999999999997,2.36459403970286e-09
-1.9,3.26999999999997,2.36460403970286e-09
-1.9,3.27999999999997,2.36461403970286e-09
-1.9,3.28999999999997,2.36462403970286e-09
-1.9,3.29999999999997,2.36463403970286e-09
-1.9,3.30999999999997,2.36464403970286e-09
-1.9,3.31999999999997,2.36465403970286e-09
-1.9,3.32999999999997,2.36466403970286e-09
-1.9,3.33999999999997,2.36467403970286e-09
-1.9,3.34999999999997,2.36468403970286e-09
-1.9,3.35999999999997,2.36469403970286e-09
-1.9,3.36999999999997,2.36470403970286e-09
-1.9,3.37999999999997,2.36471403970286e-09
-1.9,3.38999999999997,2.36472403970286e-09
-1.9,3.39999999999997,2.36473403970286e-09
-1.9,3.40999999999997,2.36474403970286e-09
-1.9,3.41999999999997,2.36475403970286e-09
-1.9,3.42999999999997,2.36476403970286e-09
-1.9,3.43999999999997,2.36477403970286e-09
-1.9,3.44999999999997,2.36478403970286e-09
-1.9,3.45999999999997,2.36479403970286e-09
-1.9,3.46999999999997,2.36480403970286e-09
-1.9,3.47999999999997,2.36481403970286e-09
-1.9,3.48999999999997,2.36482403970286e-09
-1.9,3.49999999999997,2.36483403970286e-09
-1.9,3.50999999999997,2.36484403970286e-09
-1.9,3.51999999999997,2.36485403970286e-09
-1.9,3.52999999999997,2.36486403970286e-09
-1.9,3.53999999999997,2.36487403970286e-09
-1.9,3.54999999999997,2.36488403970286e-09
-1.9,3.55999999999997,2.36489403970286e-09
-1.9,3.56999999999997,2.36490403970286e-09
-1.9,3.57999999999997,2.36491403970286e-09
-1.9,3.58999999999997,2.36492403970286e-09
-1.9,3.59999999999997,2.36493403970286e-09
-1.9,3.60999999999997,2.36494403970286e-09
-1.9,3.61999999999997,2.36495403970286e-09
-1.9,3.62999999999997,2.36496403970286e-09
-1.9,3.63999999999997,2.36497403970286e-09
-1.9,3.64999999999997,2.36498403970286e-09
-1.9,3.65999999999997,2.36499403970286e-09
-1.9,3.66999999999997,2.36500403970286e-09
-1.9,3.67999999999997,2.36501403970286e-09
-1.9,3.68999999999997,2.36502403970286e-09
-1.9,3.69999999999997,2.36503403970286e-09
-1.9,3.70999999999996,2.36504403970286e-09
-1.9,3.71999999999996,2.36505403970286e-09
-1.9,3.72999999999996,2.36506403970286e-09
-1.9,3.73999999999996,2.36507403970286e-09
-1.9,3.74999999999996,2.36508403970286e-09
-1.9,3.75999999999996,2.36509403970286e-09
-1.9,3.76999999999996,2.36510403970286e-09
-1.9,3.77999999999996,2.36511403970286e-09
-1.9,3.78999999999996,2.36512403970286e-09
-1.9,3.79999999999996,2.36513403970286e-09
-1.9,3.80999999999996,2.36514403970286e-09
-1.9,3.81999999999996,2.36515403970286e-09
-1.9,3.82999999999996,2.36516403970286e-09
-1.9,3.83999999999996,2.36517403970286e-09
-1.9,3.84999999999996,2.36518403970286e-09
-1.9,3.85999999999996,2.36519403970286e-09
-1.9,3.86999999999996,2.36520403970286e-09
-1.9,3.87999999999996,2.36521403970286e-09
-1.9,3.88999999999996,2.36522403970286e-09
-1.9,3.89999999999996,2.36523403970286e-09
-1.9,3.90999999999996,2.36524403970286e-09
-1.9,3.91999999999996,2.36525403970286e-09
-1.9,3.92999999999996,2.36526403970286e-09
-1.9,3.93999999999996,2.36527403970286e-09
-1.9,3.94999999999996,2.36528403970286e-09
-1.9,3.95999999999996,2.36529403970286e-09
-1.9,3.96999999999996,2.36530403970286e-09
-1.9,3.97999999999996,2.36531403970286e-09
-1.9,3.98999999999996,2.36532403970286e-09
-1.9,3.99999999999996,2.36533403970286e-09
-1.9,4.00999999999996,2.36534403970286e-09
-1.9,4.01999999999996,2.36535403970286e-09
-1.9,4.02999999999996,2.36536403970286e-09
-1.9,4.03999999999996,2.36537403970286e-09
-1.9,4.04999999999996,2.36538403970286e-09
-1.9,4.05999999999996,2.36539403970286e-09
-1.9,4.06999999999996,2.36540403970286e-09
-1.9,4.07999999999996,2.36541403970286e-09
-1.9,4.08999999999996,2.36542403970286e-09
-1.9,4.09999999999996,2.36543403970286e-09
-1.9,4.10999999999996,2.36544403970286e-09
-1.9,4.11999999999996,2.36545403970286e-09
-1.9,4.12999999999996,2.36546403970286e-09
-1.9,4.13999999999996,2.36547403970286e-09
-1.9,4.14999999999996,2.36548403970286e-09
-1.9,4.15999999999996,2.36549403970286e-09
-1.9,4.16999999999996,2.36550403970286e-09
-1.9,4.17999999999996,2.36551403970286e-09
-1.9,4.18999999999996,2.36552403970286e-09
-1.9,4.19999999999995,2.36553403970286e-09
-1.9,4.20999999999995,2.36554403970286e-09
-1.9,4.21999999999995,2.36555403970286e-09
-1.9,4.22999999999995,2.36556403970286e-09
-1.9,4.23999999999995,2.36557403970286e-09
-1.9,4.24999999999995,2.36558403970286e-09
-1.9,4.25999999999995,2.36559403970286e-09
-1.9,4.26999999999995,2.36560403970286e-09
-1.9,4.27999999999995,2.36561403970286e-09
-1.9,4.28999999999995,2.36562403970286e-09
-1.9,4.29999999999995,2.36563403970286e-09
-1.9,4.30999999999995,2.36564403970286e-09
-1.9,4.31999999999995,2.36565403970286e-09
-1.9,4.32999999999995,2.36566403970286e-09
-1.9,4.33999999999995,2.36567403970286e-09
-1.9,4.34999999999995,2.36568403970286e-09
-1.9,4.35999999999995,2.36569403970286e-09
-1.9,4.36999999999995,2.36570403970286e-09
-1.9,4.37999999999995,2.36571403970286e-09
-1.9,4.38999999999995,2.36572403970286e-09
-1.9,4.39999999999995,2.36573403970286e-09
-1.9,4.40999999999995,2.36574403970286e-09
-1.9,4.41999999999995,2.36575403970286e-09
-1.9,4.42999999999995,2.36576403970286e-09
-1.9,4.43999999999995,2.36577403970286e-09
-1.9,4.44999999999995,2.36578403970286e-09
-1.9,4.45999999999995,2.36579403970286e-09
-1.9,4.46999999999995,2.36580403970286e-09
-1.9,4.47999999999995,2.36581403970286e-09
-1.9,4.48999999999995,2.36582403970286e-09
-1.9,4.49999999999995,2.36583403970286e-09
-1.9,4.50999999999995,2.36584403970286e-09
-1.9,4.51999999999995,2.36585403970286e-09
-1.9,4.52999999999995,2.36586403970286e-09
-1.9,4.53999999999995,2.36587403970286e-09
-1.9,4.54999999999995,2.36588403970286e-09
-1.9,4.55999999999995,2.36589403970286e-09
-1.9,4.56999999999995,2.36590403970286e-09
-1.9,4.57999999999995,2.36591403970286e-09
-1.9,4.58999999999995,2.36592403970286e-09
-1.9,4.59999999999995,2.36593403970286e-09
-1.9,4.60999999999995,2.36594403970286e-09
-1.9,4.61999999999995,2.36595403970286e-09
-1.9,4.62999999999995,2.36596403970286e-09
-1.9,4.63999999999995,2.36597403970286e-09
-1.9,4.64999999999995,2.36598403970286e-09
-1.9,4.65999999999995,2.36599403970286e-09
-1.9,4.66999999999994,2.36600403970286e-09
-1.9,4.67999999999994,2.36601403970286e-09
-1.9,4.68999999999994,2.36602403970286e-09
-1.9,4.69999999999994,2.36603403970286e-09
-1.9,4.70999999999994,2.36604403970286e-09
-1.9,4.71999999999994,2.36605403970286e-09
-1.9,4.72999999999994,2.36606403970286e-09
-1.9,4.73999999999994,2.36607403970286e-09
-1.9,4.74999999999994,2.36608403970286e-09
-1.9,4.75999999999994,2.36609403970286e-09
-1.9,4.76999999999994,2.36610403970286e-09
-1.9,4.77999999999994,2.36611403970286e-09
-1.9,4.78999999999994,2.36612403970286e-09
-1.9,4.79999999999994,2.36613403970286e-09
-1.9,4.80999999999994,2.36614403970286e-09
-1.9,4.81999999999994,2.36615403970286e-09
-1.9,4.82999999999994,2.36616403970286e-09
-1.9,4.83999999999994,2.36617403970286e-09
-1.9,4.84999999999994,2.36618403970286e-09
-1.9,4.85999999999994,2.36619403970286e-09
-1.9,4.86999999999994,2.36620403970286e-09
-1.9,4.87999999999994,2.36621403970286e-09
-1.9,4.88999999999994,2.36622403970286e-09
-1.9,4.89999999999994,2.36623403970286e-09
-1.9,4.90999999999994,2.36624403970286e-09
-1.9,4.91999999999994,2.36625403970286e-09
-1.9,4.92999999999994,2.36626403970286e-09
-1.9,4.93999999999994,2.36627403970286e-09
-1.9,4.94999999999994,2.36628403970286e-09
-1.9,4.95999999999994,2.36629403970286e-09
-1.9,4.96999999999994,2.36630403970286e-09
-1.9,4.97999999999994,2.36631403970286e-09
-1.9,4.98999999999994,2.36632403970286e-09
-1.9,5,2.36633403970286e-09
-1.8,0,2.36133403970228e-09
-1.8,0.01,2.36134403970237e-09
-1.8,0.02,2.36135403970244e-09
-1.8,0.03,2.36136403970249e-09
-1.8,0.04,2.36137403970255e-09
-1.8,0.05,2.36138403970259e-09
-1.8,0.06,2.36139403970263e-09
-1.8,0.07,2.36140403970266e-09
-1.8,0.08,2.36141403970269e-09
-1.8,0.09,2.36142403970271e-09
-1.8,0.1,2.36143403970273e-09
-1.8,0.11,2.36144403970275e-09
-1.8,0.12,2.36145403970277e-09
-1.8,0.13,2.36146403970278e-09
-1.8,0.14,2.36147403970279e-09
-1.8,0.15,2.3614840397028e-09
-1.8,0.16,2.36149403970281e-09
-1.8,0.17,2.36150403970282e-09
-1.8,0.18,2.36151403970282e-09
-1.8,0.19,2.36152403970283e-09
-1.8,0.2,2.36153403970283e-09
-1.8,0.21,2.36154403970284e-09
-1.8,0.22,2.36155403970284e-09
-1.8,0.23,2.36156403970284e-09
-1.8,0.24,2.36157403970285e-09
-1.8,0.25,2.36158403970285e-09
-1.8,0.26,2.36159403970285e-09
-1.8,0.27,2.36160403970285e-09
-1.8,0.28,2.36161403970285e-09
-1.8,0.29,2.36162403970285e-09
-1.8,0.3,2.36163403970286e-09
-1.8,0.31,2.36164403970286e-09
-1.8,0.32,2.36165403970286e-09
-1.8,0.33,2.36166403970286e-09
-1.8,0.34,2.36167403970286e-09
-1.8,0.35,2.36168403970286e-09
-1.8,0.36,2.36169403970286e-09
-1.8,0.37,2.36170403970286e-09
-1.8,0.38,2.36171403970286e-09
-1.8,0.39,2.36172403970286e-09
-1.8,0.4,2.36173403970286e-09
-1.8,0.41,2.36174403970286e-09
-1.8,0.42,2.36175403970286e-09
-1.8,0.43,2.36176403970286e-09
-1.8,0.44,2.36177403970286e-09
-1.8,0.45,2.36178403970286e-09
-1.8,0.46,2.36179403970286e-09
-1.8,0.47,2.36180403970286e-09
-1.8,0.48,2.36181403970286e-09
-1.8,0.49,2.36182403970286e-09
-1.8,0.5,2.36183403970286e-09
-1.8,0.51,2.36184403970286e-09
-1.8,0.52,2.36185403970286e-09
-1.8,0.53,2.36186403970286e-09
-1.8,0.54,2.36187403970286e-09
-1.8,0.55,2.36188403970286e-09
-1.8,0.56,2.36189403970286e-09
-1.8,0.57,2.36190403970286e-09
-1.8,0.58,2.36191403970286e-09
-1.8,0.59,2.36192403970286e-09
-1.8,0.6,2.36193403970286e-09
-1.8,0.61,2.36194403970286e-09
-1.8,0.62,2.36195403970286e-09
-1.8,0.63,2.36196403970286e-09
-1.8,0.64,2.36197403970286e-09
-1.8,0.65,2.36198403970286e-09
-1.8,0.66,2.36199403970286e-09
-1.8,0.67,2.36200403970286e-09
-1.8,0.68,2.36201403970286e-09
-1.8,0.69,2.36202403970286e-09
-1.8,0.7,2.36203403970286e-09
-1.8,0.71,2.36204403970286e-09
-1.8,0.72,2.36205403970286e-09
-1.8,0.73,2.36206403970286e-09
-1.8,0.74,2.36207403970286e-09
-1.8,0.75,2.36208403970286e-09
-1.8,0.76,2.36209403970286e-09
-1.8,0.77,2.36210403970286e-09
-1.8,0.78,2.36211403970286e-09
-1.8,0.79,2.36212403970286e-09
-1.8,0.8,2.36213403970286e-09
-1.8,0.81,2.36214403970286e-09
-1.8,0.820000000000001,2.36215403970286e-09
-1.8,0.83,2.36216403970286e-09
-1.8,0.840000000000001,2.36217403970286e-09
-1.8,0.850000000000001,2.36218403970286e-09
-1.8,0.860000000000001,2.36219403970286e-09
-1.8,0.870000000000001,2.36220403970286e-09
-1.8,0.880000000000001,2.36221403970286e-09
-1.8,0.890000000000001,2.36222403970286e-09
-1.8,0.900000000000001,2.36223403970286e-09
-1.8,0.91,2.36224403970286e-09
-1.8,0.920000000000001,2.36225403970286e-09
-1.8,0.930000000000001,2.36226403970286e-09
-1.8,0.940000000000001,2.36227403970286e-09
-1.8,0.950000000000001,2.36228403970286e-09
-1.8,0.960000000000001,2.36229403970286e-09
-1.8,0.970000000000001,2.36230403970286e-09
-1.8,0.980000000000001,2.36231403970286e-09
-1.8,0.990000000000001,2.36232403970286e-09
-1.8,1,2.36233403970286e-09
-1.8,1.01,2.36234403970286e-09
-1.8,1.02,2.36235403970286e-09
-1.8,1.03,2.36236403970286e-09
-1.8,1.04,2.36237403970286e-09
-1.8,1.05,2.36238403970286e-09
-1.8,1.06,2.36239403970286e-09
-1.8,1.07,2.36240403970286e-09
-1.8,1.08,2.36241403970286e-09
-1.8,1.09,2.36242403970286e-09
-1.8,1.1,2.36243403970286e-09
-1.8,1.11,2.36244403970286e-09
-1.8,1.12,2.36245403970286e-09
-1.8,1.13,2.36246403970286e-09
-1.8,1.14,2.36247403970286e-09
-1.8,1.15,2.36248403970286e-09
-1.8,1.16,2.36249403970286e-09
-1.8,1.17,2.36250403970286e-09
-1.8,1.18,2.36251403970286e-09
-1.8,1.19,2.36252403970286e-09
-1.8,1.2,2.36253403970286e-09
-1.8,1.21,2.36254403970286e-09
-1.8,1.22,2.36255403970286e-09
-1.8,1.23,2.36256403970286e-09
-1.8,1.24,2.36257403970286e-09
-1.8,1.25,2.36258403970286e-09
-1.8,1.26,2.36259403970286e-09
-1.8,1.27,2.36260403970286e-09
-1.8,1.28,2.36261403970286e-09
-1.8,1.29,2.36262403970286e-09
-1.8,1.3,2.36263403970286e-09
-1.8,1.31,2.36264403970286e-09
-1.8,1.32,2.36265403970286e-09
-1.8,1.33,2.36266403970286e-09
-1.8,1.34,2.36267403970286e-09
-1.8,1.35,2.36268403970286e-09
-1.8,1.36,2.36269403970286e-09
-1.8,1.37,2.36270403970286e-09
-1.8,1.38,2.36271403970286e-09
-1.8,1.39,2.36272403970286e-09
-1.8,1.4,2.36273403970286e-09
-1.8,1.41,2.36274403970286e-09
-1.8,1.42,2.36275403970286e-09
-1.8,1.43,2.36276403970286e-09
-1.8,1.44,2.36277403970286e-09
-1.8,1.45,2.36278403970286e-09
-1.8,1.46,2.36279403970286e-09
-1.8,1.47,2.36280403970286e-09
-1.8,1.48,2.36281403970286e-09
-1.8,1.49,2.36282403970286e-09
-1.8,1.5,2.36283403970286e-09
-1.8,1.51,2.36284403970286e-09
-1.8,1.52,2.36285403970286e-09
-1.8,1.53,2.36286403970286e-09
-1.8,1.54,2.36287403970286e-09
-1.8,1.55,2.36288403970286e-09
-1.8,1.56,2.36289403970286e-09
-1.8,1.57,2.36290403970286e-09
-1.8,1.58,2.36291403970286e-09
-1.8,1.59,2.36292403970286e-09
-1.8,1.6,2.36293403970286e-09
-1.8,1.61,2.36294403970286e-09
-1.8,1.62,2.36295403970286e-09
-1.8,1.63,2.36296403970286e-09
-1.8,1.64,2.36297403970286e-09
-1.8,1.65,2.36298403970286e-09
-1.8,1.66,2.36299403970286e-09
-1.8,1.67,2.36300403970286e-09
-1.8,1.68,2.36301403970286e-09
-1.8,1.69,2.36302403970286e-09
-1.8,1.7,2.36303403970286e-09
-1.8,1.71,2.36304403970286e-09
-1.8,1.72,2.36305403970286e-09
-1.8,1.73,2.36306403970286e-09
-1.8,1.74,2.36307403970286e-09
-1.8,1.75,2.36308403970286e-09
-1.8,1.76,2.36309403970286e-09
-1.8,1.77,2.36310403970286e-09
-1.8,1.78,2.36311403970286e-09
-1.8,1.79,2.36312403970286e-09
-1.8,1.8,2.36313403970286e-09
-1.8,1.81,2.36314403970286e-09
-1.8,1.82,2.36315403970286e-09
-1.8,1.83,2.36316403970286e-09
-1.8,1.84,2.36317403970286e-09
-1.8,1.85,2.36318403970286e-09
-1.8,1.86,2.36319403970286e-09
-1.8,1.87,2.36320403970286e-09
-1.8,1.88,2.36321403970286e-09
-1.8,1.89,2.36322403970286e-09
-1.8,1.9,2.36323403970286e-09
-1.8,1.91,2.36324403970286e-09
-1.8,1.92,2.36325403970286e-09
-1.8,1.93,2.36326403970286e-09
-1.8,1.94,2.36327403970286e-09
-1.8,1.95,2.36328403970286e-09
-1.8,1.96,2.36329403970286e-09
-1.8,1.97,2.36330403970286e-09
-1.8,1.98,2.36331403970286e-09
-1.8,1.99,2.36332403970286e-09
-1.8,2,2.36333403970286e-09
-1.8,2.01,2.36334403970286e-09
-1.8,2.02,2.36335403970286e-09
-1.8,2.03,2.36336403970286e-09
-1.8,2.04,2.36337403970286e-09
-1.8,2.05,2.36338403970286e-09
-1.8,2.06,2.36339403970286e-09
-1.8,2.07,2.36340403970286e-09
-1.8,2.08,2.36341403970286e-09
-1.8,2.09,2.36342403970286e-09
-1.8,2.1,2.36343403970286e-09
-1.8,2.11,2.36344403970286e-09
-1.8,2.12,2.36345403970286e-09
-1.8,2.13,2.36346403970286e-09
-1.8,2.14,2.36347403970286e-09
-1.8,2.15,2.36348403970286e-09
-1.8,2.16,2.36349403970286e-09
-1.8,2.17,2.36350403970286e-09
-1.8,2.18,2.36351403970286e-09
-1.8,2.19,2.36352403970286e-09
-1.8,2.2,2.36353403970286e-09
-1.8,2.21,2.36354403970286e-09
-1.8,2.22,2.36355403970286e-09
-1.8,2.23,2.36356403970286e-09
-1.8,2.24,2.36357403970286e-09
-1.8,2.25,2.36358403970286e-09
-1.8,2.26,2.36359403970286e-09
-1.8,2.27,2.36360403970286e-09
-1.8,2.28,2.36361403970286e-09
-1.8,2.29,2.36362403970286e-09
-1.8,2.29999999999999,2.36363403970286e-09
-1.8,2.30999999999999,2.36364403970286e-09
-1.8,2.31999999999999,2.36365403970286e-09
-1.8,2.32999999999999,2.36366403970286e-09
-1.8,2.33999999999999,2.36367403970286e-09
-1.8,2.34999999999999,2.36368403970286e-09
-1.8,2.35999999999999,2.36369403970286e-09
-1.8,2.36999999999999,2.36370403970286e-09
-1.8,2.37999999999999,2.36371403970286e-09
-1.8,2.38999999999999,2.36372403970286e-09
-1.8,2.39999999999999,2.36373403970286e-09
-1.8,2.40999999999999,2.36374403970286e-09
-1.8,2.41999999999999,2.36375403970286e-09
-1.8,2.42999999999999,2.36376403970286e-09
-1.8,2.43999999999999,2.36377403970286e-09
-1.8,2.44999999999999,2.36378403970286e-09
-1.8,2.45999999999999,2.36379403970286e-09
-1.8,2.46999999999999,2.36380403970286e-09
-1.8,2.47999999999999,2.36381403970286e-09
